no_acclimation,genus,species,phylum,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity-days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km+ (migratory only),season_when_away_100km+ (migratory only),logic_source_season_when_away,Home range size_Km2,logic-source_for_Home range size,data_gatherer,lifespan_days,lifespan_days_reference,Notes
,Lipophrys,pholis,Chordata,Actinopterygii,NA,Blenniidae,NA,255.5,0.7 years (Carvalho+ M. G.+ Moreira+ C.+ Queiroga+ H.+ Santos+ P. T.+ & Correia+ A. T. (2017). Age+ growth and sex of the shanny+ Lipophrys pholis (Linnaeus+ 1758)(Teleostei+ Blenniidae)+ from the NW coast of Portugal. Journal of Applied Ichthyology+ 33(2)+ 242-251.),146,0.4 years (Carvalho+ M. G.+ Moreira+ C.+ Queiroga+ H.+ Santos+ P. T.+ & Correia+ A. T. (2017). Age+ growth and sex of the shanny+ Lipophrys pholis (Linnaeus+ 1758)(Teleostei+ Blenniidae)+ from the NW coast of Portugal. Journal of Applied Ichthyology+ 33(2)+ 242-251.),Y,100+,LARVAL: PLD 57-73 days (Carvalho+ M. G.+ Moreira+ C.+ Queiroga+ H.+ Santos+ P. T.+ & Correia+ A. T. (2017). Age+ growth and sex of the shanny+ Lipophrys pholis (Linnaeus+ 1758)(Teleostei+ Blenniidae)+ from the NW coast of Portugal. Journal of Applied Ichthyology+ 33(2)+ 242-251.),,,17,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.000000785-0.00000825,still within 10m of original pool 15 months later+ pool dimensions ranged from 0.5m diameter to 5.5x1.5m (https://www.jstor.org/stable/pdf/3023.pdf),Nikki,3650,10 years max (AnAge + fishbase) 1-2 year survival seems typical (0.7 years (Carvalho+ M. G.+ Moreira+ C.+ Queiroga+ H.+ Santos+ P. T.+ & Correia+ A. T. (2017). Age+ growth and sex of the shanny+ Lipophrys pholis (Linnaeus+ 1758)(Teleostei+ Blenniidae)+ from the NW coast of Portugal. Journal of Applied Ichthyology+ 33(2)+ 242-251.) ,synonym: Blennius pholis
,Lipophrys,trigloides,Chordata,Actinopterygii,NA,Blenniidae,NA,unk,,unk,,,100+,LARVAL: PLD mean 67.2 days (doi:10.3354/meps327257),,,13,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,unk,,NA,NA,NA,unk,,Nikki,unk,,
,Carpiodes,cyprinus,Chordata,Actinopterygii,Cypriniformes,Catostomidae,NA,2190,minimum 6 years (Parker+ B. R.+ & Franzin+ W. G. (1991). Reproductive biology of the quillback+ Carpiodes cyprinus+ in a small prairie river. Canadian Journal of Zoology+ 69(8)+ 2133-2139.),1460,minimum 4 years (Parker+ B. R.+ & Franzin+ W. G. (1991). Reproductive biology of the quillback+ Carpiodes cyprinus+ in a small prairie river. Canadian Journal of Zoology+ 69(8)+ 2133-2139.),,10-100,"MIGRATION: migration of up to 32km (http://explorer.natureserve.org/servlet/NatureServe?searchName=Carpiodes%20cyprinus)
all other info unk",,,45.7,TL max of spawners over two years (Parker+ B. R.+ & Franzin+ W. G. (1991). Reproductive biology of the quillback+ Carpiodes cyprinus+ in a small prairie river. Canadian Journal of Zoology+ 69(8)+ 2133-2139.),44.4-44.9,FL mean of spawners over two years (Parker+ B. R.+ & Franzin+ W. G. (1991). Reproductive biology of the quillback+ Carpiodes cyprinus+ in a small prairie river. Canadian Journal of Zoology+ 69(8)+ 2133-2139.),40.9-41.3,FL mean of spawners over two years (Parker+ B. R.+ & Franzin+ W. G. (1991). Reproductive biology of the quillback+ Carpiodes cyprinus+ in a small prairie river. Canadian Journal of Zoology+ 69(8)+ 2133-2139.),,none,no dormancy reported,migratory,NatureServe Explorer,NA,NA,"POPULATION SPECIFIC: may migrate up to 32km (http://explorer.natureserve.org/servlet/NatureServe?searchName=Carpiodes%20cyprinus)
DETAILED TIMING: dependent on water temperatures - 5C or lower (http://explorer.natureserve.org/servlet/NatureServe?searchName=Carpiodes%20cyprinus)",unk,,Azenor/Nikki,4015,max 11 years https://animaldiversity.org/accounts/Carpiodes_cyprinus/,complicated migration
,Catostomus,commersonii,Chordata,Actinopterygii,Cypriniformes,Catostomidae,NA,1095,average 3 years (http://animaldiversity.org/accounts/Catostomus_commersoni/),730,average 2 years (http://animaldiversity.org/accounts/Catostomus_commersoni/),,10-100,"MOVEMENT: low site fidelity after spawning+ one dispersed 56km after spawning (https://animaldiversity.org/accounts/Catostomus_commersonii/)
GENETIC: relatively small differences among sites separated by 100+ km - authors suggest that white sucker are mobile (https://doi.org/10.1897/02-181)
MIGRATION: migrate dozens of km between spawning and adult habitat - NatureServe Explorer",,,65,TL male/unsexed -fishbase,40.7,TL male/unsexed -fishbase,40.7,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,IUCN Red List,spring+ two months,NA,"DISTANCE: dozens of km (NatureServe Explorer)
TIMING: 6 weeks in spring/early summer in North (http://animaldiversity.org/accounts/Catostomus_commersoni/)",unk,,Azenor/Nikki,6205,maximum of 17 years http://animaldiversity.org/accounts/Catostomus_commersoni/,
,Ambloplites,rupestris,Chordata,Actinopterygii,Perciformes,Centrarchidae,sub-adults,730,2 to 3 years (https://animaldiversity.org/accounts/Ambloplites_rupestris/),730,2 to 3 years (https://animaldiversity.org/accounts/Ambloplites_rupestris/),Y,1-10,"MOVEMENT: strong site fidelity to nests (https://doi.org/10.1093/beheco/5.2.195) and during non-migratory period remain within 3km of capture site (https://doi.org/10.1016/S0380-1330(77)72251-8)
MIGRATION: adults travel 35 to 40 km to spawn (MacLean & Teleki 1977)",,,43,TL male/unsexed -fishbase,15.4,TL male/unsexed -fishbase,15.4,TL male/unsexed -fishbase,Y,none,no dormancy reported+ active in winter (https://animaldiversity.org/accounts/Ambloplites_rupestris/),migratory,NatureServe Explorer,spring,NA,"DISTANCE: spawn 35-40km away (https://doi.org/10.1016/S0380-1330(77)72251-8)
TIMING: spring (https://doi.org/10.1016/S0380-1330(77)72251-8)",28.26,most individuals remain within 3 km of their initial capture site+ this estimate is distance travelled including migration+ used as radius (https://doi.org/10.1016/S0380-1330(77)72251-8),Sarah/Nikki,2920,average lifespan is 5 to 8 years+ max 8 (https://animaldiversity.org/accounts/Ambloplites_rupestris/) + fishbase,
,Lepomis,cyanellus,Chordata,Actinopterygii,Perciformes,Centrarchidae,NA,1095,Age of female maturity is 3 years (https://animaldiversity.org/accounts/Lepomis_cyanellus/),1095,3 years (NatureServe Explorer),Y,0-1,MOVEMENT: 453m farthest recapture (https://www.srs.fs.usda.gov/pubs/ja/ja_smithson001.pdf),,,31,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,NatureServe Explorer,NA,NA,NA,0.00139,72% recaptured within same 42m stream length+ used as diameter (DOI: 10.2307/2424361),Sarah/Nikki,3285,maximum lifespan is 9 years (AnAge),
,Lepomis,gibbosus,Chordata,Actinopterygii,Perciformes,Centrarchidae,juveniles,730,females reproduce after 2 to 5 years (https://animaldiversity.org/accounts/Lepomis_gibbosus/),730,sexual maturity and reproduction occur in the second to third years (Scott and Crossman 1973). Doesn't specify male or female.,,0-1,MOVEMENT: found site fidelity in sites separated by up to 500m (https://doi.org/10.1007/s00442-004-1580-9),,,40,TL male/unsexed -fishbase,9.9,TL male/unsexed -fishbase,9.9,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,NatureServe Explorer,NA,NA,NA,1-3,adult home range is 1000-3000 m2 (https://doi.org/10.1007/s00442-004-1580-9) ,Sarah/Nikki,4380,7-10 years+ maximum 12  (http://www.ontariofishes.ca/fish_detail.php?FID=131) + fishbase,
,Lepomis,macrochirus,Chordata,Actinopterygii,Perciformes,Centrarchidae,NA,730,some fish reach maturity after 2 years+ all reached in after 3 years (Peterson et al 2010),730,some fish reach maturity after 2 years+ all reached in after 3 years (Peterson et al 2010),Y,1-10,MOVEMENT: max distance travelled 2832m+ table 4 (Hohausova et al  2010),,,41,TL male/unsexed -fishbase,19.1,TL male/unsexed -fishbase,19.1,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,NatureServe Explorer,NA,NA,NA,0.00003,30 m^2 https://en.wikipedia.org/wiki/Bluegill,Sarah/Nikki,3650,10 years max (AnAge),
,Lepomis,megalotis,Chordata,Actinopterygii,Perciformes,Centrarchidae,NA,1095,https://www.dec.ny.gov/docs/wildlife_pdf/lesunfishrpt.pdf,1095,https://www.dec.ny.gov/docs/wildlife_pdf/lesunfishrpt.pdf,Y,0-1,MOVEMENT: 70% of sunfish moved less than 100 m so high site fidelity+ most distant recapture 506m (https://www.srs.fs.usda.gov/pubs/ja/ja_smithson001.pdf),,,24,TL male/unsexed -fishbase,11.5,TL male/unsexed -fishbase,11.5,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,Fentress et al 2006+ most individuals do not migrate,NA,NA,NA,0.00139-0.012,species home range is within 21 - 61 meters+ treated as radius (Berra & Gunning 1972),Sarah/Nikki,2190,6 years max (ADW+ AnAge),
,Micropterus,punctulatus,Chordata,Actinopterygii,Perciformes,Centrarchidae,sub-adults,730,2-3 years (NatureServe Explorer),730,2-3 years (NatureServe Explorer),Y,10-100,MOVEMENT: kernel home range estimates ranged from 0.6 to 3.6 ha+ so assume linear distance of ? (https://doi.org/10.1080/02705060.2008.9664247),,,63.5,TL male/unsexed -fishbase,30,TL male/unsexed -fishbase,30,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,NatureServe Explorer,NA,NA,NA,0.006-0.036,0.6-3.6 ha 50% annual kernel home range estimate (Hunter+ R. W.+ & Maceina+ M. J. (2008). Movements and home ranges of largemouth bass and Alabama spotted bass in Lake Martin+ Alabama. Journal of Freshwater Ecology+ 23(4)+ 599-606.),Nikki,2555,7 years maximum - fishbase,
,Pomoxis,annularis,Chordata,Actinopterygii,Perciformes,Centrarchidae,adults,730,https://animaldiversity.org/accounts/Pomoxis_annularis/,730,https://animaldiversity.org/accounts/Pomoxis_annularis/,,0-1,MOVEMENT: known to exibit site fidelity to max 1036m2 site+ 10 high use sites within 532 ha (https://doi.org/10.1577/1548-8675(1991)011<0504:WCSMAH>2.3.CO;2),,,53,TL male/unsexed -fishbase,25,TL male/unsexed -fishbase,25,TL male/unsexed -fishbase,Y,none,relatively inactive during the day in the winter but not dormant (NatureServe Explorer),non-migratory,NatureServe Explorer,NA,NA,NA,0.0056-0.0125,0.56-1.25 ha https://animaldiversity.org/accounts/Pomoxis_annularis/,Sarah/Nikki,3650,3-4 years average+ maximum 10 (https://animaldiversity.org/accounts/Pomoxis_annularis),
,Pomoxis,nigromaculatus,Chordata,Actinopterygii,Perciformes,Centrarchidae,adults,730,2-4 years (https://animaldiversity.org/accounts/Pomoxis_nigromaculatus/ AND Nelson+ W. R. (1974). Age+ growth+ and maturity of thirteen species of fish from Lake Oahe during the early years of impoundment+ 1963-68 (Vol. 77). US Department of the Interior+ Fish and Wildlife Service.),730,2-4 years (https://animaldiversity.org/accounts/Pomoxis_nigromaculatus/ AND Nelson+ W. R. (1974). Age+ growth+ and maturity of thirteen species of fish from Lake Oahe during the early years of impoundment+ 1963-68 (Vol. 77). US Department of the Interior+ Fish and Wildlife Service.),Y,0-1,MOVEMENT: 582m/h and figure 5 + google maps shows max movement distance of ~1km (Guy+ C. S.+ Neumann+ R. M.+ & Willis+ D. W. (1992). Movement patterns of adult black crappie+ Pomoxis nigromaculatus+ in Brant Lake+ South Dakota. Journal of Freshwater Ecology+ 7(2)+ 137-147.),,,49,TL male/unsexed -fishbase,27.5,TL male/unsexed -fishbase,27.5,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,kunk,no results found (Guy+ C. S.+ Neumann+ R. M.+ & Willis+ D. W. (1992). Movement patterns of adult black crappie+ Pomoxis nigromaculatus+ in Brant Lake+ South Dakota. Journal of Freshwater Ecology+ 7(2)+ 137-147.),Nikki,5475,7 average+ longest 15 (https://animaldiversity.org/accounts/Pomoxis_nigromaculatus/),
,Lates,calcarifer,Chordata,Actinopterygii,Perciformes,Centropomidae,NA,730,2-8 years+ hermaphrodite with male turning into female after 3-8 years+ few females develop directly from larvae (https://animaldiversity.org/accounts/Lates_calcarifer/) + fishbase,730,3-5 years but then may become female (https://animaldiversity.org/accounts/Lates_calcarifer/) ,,10-100,"MOVEMENT: juveniles dispersed 23km average into streams after being resident in creeks  (https://doi.org/10.1071/MF9880117)
LARVAE: ""larvae+ although pelagic+ develop rapidly and exhibit active migration"" not passive (https://doi.org/10.1046/j.1365-2540.1998.00292.x )
MIGRATION: migration distance of 622km max (https://doi.org/10.1071/MF9820671)",,,200,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,migratory,IUCN Red List,October/Novermber/December/January/February,October/Novermber/December/January/February,"DISTANCE: 622km max (https://doi.org/10.1071/MF9820671)
TIMING: catadromous+ migrate to mouths of rivers and etuaries to breed from October-February (https://animaldiversity.org/accounts/Lates_calcarifer/)",unk,,Nikki,7300,20 years+ not clear if maximum/average (https://doi.org/10.1071/MF08283),hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)
,Gymnocharacinus,bergii,Chordata,Actinopterygii,Characiformes,Characidae,NA,365,12 months+ table 1 (DOI: 10.1023/A:1014396327117),365,12 months+ table 1 (DOI: 10.1023/A:1014396327117),Y,0-1,"MOVEMENT: very low dispersal ability+ 5/7 subpopulations occupy less than 0.5km^2 and flow of individuals between these subpopulations is very low or even absent (IUCN Redlist)
LARVAE: benthic larvae (DOI: 10.1023/A:1014396327117)",,,7.5,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.5,unable to find+ but know some populations occupy less than 0.5km^2 (IUCN Red List),Nikki,2190,up to 6 years (DOI: 10.1023/A:1014396327117),
,Etroplus,suratensis,Chordata,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,1-10,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),,,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,NA,NA,NA,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),Nikki,2555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),
,Cottus,gobio,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,adults,730,2-4 years before first spawn (IUCN Red List),730,2-4 years before first spawn (IUCN Red List),Y,0-1,MOVEMENT: individual dispersal less than 1km (Hänfling+ B.+ Hellemans+ B.+ Volckaert+ F. A. M.+ & Carvalho+ G. R. (2002). Late glacial history of the cold‐adapted freshwater fish Cottus gobio+ revealed by microsatellites. Molecular Ecology+ 11(9)+ 1717-1729.),,,18,TL male/unsexed -fishbase,10,TL male/unsexed -fishbase,10,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,"""does not migrate extensively"" (https://doi.org/10.1007/978-94-011-4164-2_25)",NA,NA,NA,,unknown but know it is less than 1km (Hänfling+ B.+ Hellemans+ B.+ Volckaert+ F. A. M.+ & Carvalho+ G. R. (2002). Late glacial history of the cold‐adapted freshwater fish Cottus gobio+ revealed by microsatellites. Molecular Ecology+ 11(9)+ 1717-1729.),Nikki,3650,10 years maximum - fishbase,
,Carassius,carassius,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,547.5,1.5-6 years across various populations (Tarkan+ A. S.+ Almeida+ D.+ Godard+ M. J.+ Gaygusuz+ Ö.+ Rylands+ M.+ Sayer+ C. D.+ ... & Copp+ G. H. (2016). A review and meta‐analysis of growth and life‐history traits of a declining European freshwater fish+ crucian carp Carassius carassius. Aquatic Conservation: Marine and Freshwater Ecosystems+ 26(1)+ 212-224.),547.5,1.5-5 years across various populations (Tarkan+ A. S.+ Almeida+ D.+ Godard+ M. J.+ Gaygusuz+ Ö.+ Rylands+ M.+ Sayer+ C. D.+ ... & Copp+ G. H. (2016). A review and meta‐analysis of growth and life‐history traits of a declining European freshwater fish+ crucian carp Carassius carassius. Aquatic Conservation: Marine and Freshwater Ecosystems+ 26(1)+ 212-224.),,unk,low dispersal (doi: 10.1111/mec.13613),,,64,TL male/unsexed -fishbase,15,TL male/unsexed -fishbase,15,TL male/unsexed -fishbase,Y,winter+dry,burrow in mud in the dry season or during winter+ fishbase,non-migratory,Fishbase,NA,NA,anadromous according to (Müller+ K.+ & Berg+ E. (1982). Spring migration of some anadromous freshwater fish species in the northern Bothnian Sea. Hydrobiologia+ 96(2)+ 161-168.) but no other accounts/information reported+ fishbase calls potamodromous ,unk,,Nikki,3650,10 years maximum - fishbase,try to find more specific dormancy season 
,Chrosomus,erythrogaster,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,365,http://explorer.natureserve.org,365,http://explorer.natureserve.org,,0-1,MOVEMENT: signed mean movement of 13.86-88.08m+ unsigned of 104-148m (Walker+ R. H.+ Adams+ G. L.+ & Reid Adams+ S. (2013). Movement patterns of southern redbelly dace+ Chrosomus erythrogaster+ in a headwater reach of an Ozark stream. Ecology of Freshwater Fish+ 22(2)+ 216-227.),,,9.1,TL male/unsexed -fishbase,5.8,TL male/unsexed -fishbase,5.8,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,,help from Jenn - use signed or unsigned movement? population mean signed movement of 13.86-88.08m+ unsigned 104-148m (Walker+ R. H.+ Adams+ G. L.+ & Reid Adams+ S. (2013). Movement patterns of southern redbelly dace+ Chrosomus erythrogaster+ in a headwater reach of an Ozark stream. Ecology of Freshwater Fish+ 22(2)+ 216-227.),Nikki,1095,3 years maximum - fishbase+ NatureServe Explorer,
,Cyprinella,lutrensis,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,365,http://explorer.natureserve.org,365,http://explorer.natureserve.org,,unk,,,,9,TL male/unsexed -fishbase,5,TL male/unsexed -fishbase,5,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,1095,3 years maximum - fishbase,
,Cyprinella,spiloptera,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,sub-adults,365,http://explorer.natureserve.org,365,http://explorer.natureserve.org,,unk,,,,12,TL male/unsexed -fishbase,7.7,TL male/unsexed -fishbase,7.7,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,1825,most only 2 years (NatureServe Explorer)+ 5 years maximum - fishbase,
