num,reference,in_text
448,"Waters, D. S., & Noble, R. L. (2004). Spawning Season and Nest Fidelity of Largemouth Bass in a Tropical Reservoir. North American Journal of Fisheries Management, 24(4), 1240–1251. https://doi.org/10.1577/m03-048.1"," Waters & Noble, 2004"
449,"Welker, B. (1967). Movements of Marked Channel Catfish in the Little Sioux River, Iowa. Transactions of the American Fisheries Society, 96(3), 351–353. https://doi.org/10.1577/1548-8659(1967)96[351:momcci]2.0.co;2"," Welker, 1967"
450,"Wellington, G. M., & Victor, B. C. (1992). Regional differences in duration of the planktonic larval stage of reef fishes in the eastern Pacific Ocean. Marine Biology, 113(3), 491–498. https://doi.org/10.1007/BF00349176"," Wellington & Victor, 1992"
451,"Wells, K. D., & Wells, R. A. (1976). Patterns of Movement in a Population of the Slimy Salamander, Plethodon glutinosus, with Observations on Aggregations. Herpetologica."," Wells & Wells, 1976"
452,"Wells, W. G., Johnson, T. C., Gebhard, A. E., Paine, R. T. R., Hix, L. A., Ferrell, H. N., Engle, A. N., & Perkin, J. S. (2017). March of the sculpin: measuring and predicting short-term movement of banded sculpin Cottus carolinae. Ecology of Freshwater Fish, 26(2), 280–291. https://doi.org/10.1111/eff.12274"," Wells et al., 2017"
453,"White, A. W., & Pyke, G. H. (2008). Green and Golden Bell Frogs in New South Wales: Current status and future prospects. In Australian Zoologist (Vol. 34, Issue 3, pp. 319–333). https://doi.org/10.7882/AZ.2008.010"," A. W. White & Pyke, 2008"
454,"White, H. C. (1941). Migrating Behaviour of Sea-Running Salvelinus fontinalis. Journal of the Fisheries Research Board of Canada, 5b(3), 258–264. https://doi.org/10.1139/f40-029"," H. C. White, 1941"
455,"Wichert, G. A., & Rapport, D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management, 22(3). https://doi.org/10.1007/s002679900117"," Wichert & Rapport, 1998"
456,"Williams, B., Dransfield, R., & Brightwell, R. (1992). The Control of Tsetse Flies in Relation to Fly Movement and Trapping Efficiency. The Journal of Applied Ecology. https://doi.org/10.2307/2404359"," B. Williams et al., 1992"
457,"Williams, W. P. (1965). The Population Density of Four Species of Freshwater Fish, Roach (Rutilus rutilus (L.)), Bleak (Alburnus alburnus (L.)), Dace (Leuciscus leuciscus (L.)) and Perch (Perca fluviatilis L.) in the River Thames at Reading. The Journal of Animal Ecology, 34(1), 173–185. https://doi.org/10.2307/2374"," W. P. Williams, 1965"
458,"Wilson, J. N., Bekessy, S., Parris, K. M., Gordon, A., Heard, G. W., & Wintle, B. A. (2013). Impacts of climate change and urban development on the spotted marsh frog (Limnodynastes tasmaniensis). Austral Ecology, 38(1), 11–22. https://doi.org/10.1111/j.1442-9993.2012.02365.x"," Wilson et al., 2013"
459,"Winter, H. V., & Fredrich, F. (2003). Migratory behaviour of ide: A comparison between the lowland rivers Elbe, Germany, and Vecht, The Netherlands. Journal of Fish Biology, 63(4), 871–880. https://doi.org/10.1046/j.1095-8649.2003.00193.x"," Winter & Fredrich, 2003"
460,"Winther, J. K. (1962). Age and Growth of the Longfin Dace, Agosia Chrysogaster Girard. University of New Mexico."," Winther, 1962"
461,"Withers, P. C., & Hillman, S. S. (2001). Allometric and ecological relationships of ventricle and liver mass in anuran amphibians. Functional Ecology, 15(1), 60–69. https://doi.org/10.1046/j.1365-2435.2001.00495.x"," Withers & Hillman, 2001"
462,"Womack, M. C., Christensen-Dalsgaard, J., & Hoke, K. L. (2016). Better late than never: Effective air-borne hearing of toads delayed by late maturation of the tympanic middle ear structures. Journal of Experimental Biology. https://doi.org/10.1242/jeb.143446"," Womack et al., 2016"
463,"Wongchinawit, S., & Paphavasit, N. (2009). Ontogenetic niche shift in the spotted scat, Scatophagus argus, in Pak Phanang estuary, Nakhon Si Thammarat Province, Thailand. Natural History Journal of Chulalongkorn University."," Wongchinawit & Paphavasit, 2009"
464,"Woodruff, D. S. (1977). Male Postmating Brooding Behavior in Three Australian Pseudophryne (Anura: Leptodactylidae). Herpetologica."," Woodruff, 1977"
465,WoRMS Editorial Board. (2020). World Register of Marine Species. VLIZ. http://www.marinespecies.org," WoRMS Editorial Board, 2020"
466,"Yoklavich, M. M., Stevenson, M., & Cailliet, G. M. (1992). Seasonal and spatial patterns of ichthyoplankton abundance in Elkhorn Slough, California. Estuarine, Coastal and Shelf Science, 34(2), 109–126. https://doi.org/10.1016/S0272-7714(05)80099-X"," Yoklavich et al., 1992"
467,"Zamzow, J. P., Aumack, C. F., Amsler, C. D., McClintock, J. B., Amsler, M. O., & Baker, B. J. (2011). Gut contents and stable isotope analyses of the Antarctic fish, Notothenia coriiceps (Richardson), from two macroalgal communities. Antarctic Science, 23(2), 107–116. https://doi.org/10.1017/S095410201000091X"," Zamzow et al., 2011"
468,"Zapata, F. A., & Herrón, P. A. (2002). Pelagic larval duration and geographic distribution of tropical eastern Pacific snappers (Pisces: Lutjanidae). Marine Ecology Progress Series, 230, 295–300. https://doi.org/10.3354/meps230295"," Zapata & Herrón, 2002"
469,"Zepp, A. T. (2017). Factors Driving Demography and Temporal Variability in PH of the Acid Weed, Desmarestia Herbacea."," Zepp, 2017"
470,"Zheng, R. Q., & Liu, C. T. (2010). Giant spiny-frog (Paa spinosa) from different populations differ in thermal preference but not in thermal tolerance. Aquatic Ecology, 44(4), 723–729. https://doi.org/10.1007/s10452-009-9310-3"," Zheng & Liu, 2010"
471,"Zizzari, Z. V., Braakhuis, A., van Straalen, N. M., & Ellers, J. (2009). Female preference and fitness benefits of mate choice in a species with dissociated sperm transfer. Animal Behaviour, 78(5), 1261–1267. https://doi.org/10.1016/j.anbehav.2009.08.014"," Zizzari et al., 2009"
472,"張品全. (2002). Laminaria longicruris, L. saccharina, L. digitata, and L. nigripes, the kelps Background. Kaos GL Dergisi, 2(75), 36–41. http://www.geog.mcgill.ca/climatechange/"," 張品全, 2002)"
473,"Guiry, M. D. (1984). Structure, life history and hybridization of atlantic gigartina teedii (Rhodophyta) in culture. British Phycological Journal. https://doi.org/10.1080/00071618400650051","Guiry, 1984"
474,"Hunter, R. W., & Maceina, M. J. (2008). Movements and home ranges of largemouth bass and Alabama spotted bass in Lake Martin, Alabama. Journal of Freshwater Ecology. https://doi.org/10.1080/02705060.2008.9664247","Hunter & Maceina, 2008"
475,"Peters, A. F. (1992a). Culture studies on the life history of Dictyosiphon hirsutus (Dictyosiphonales, Phaeophyceae) from South America. British Phycological Journal, 27(2), 177–183. https://doi.org/10.1080/00071619200650181","Peters, 1992a"
476,"Peters, A. F. (1992b). Distinction of South American Haplogloia andersonii and Hordaria linearis (Phaeophyceae) based on differences in sexual reproduction, morphology, ecophysiology and distribution. Journal of Phycology. https://doi.org/10.1111/j.0022-3646.1992.00684.x","Peters, 1992b"
477,"Ramirez, M. E., Müller, D. G., & Peters, A. F. (1986). Life history and taxonomy of two populations of ligulate Desmarestia (Phaeophyceae) from Chile. Canadian Journal of Botany, 64(12), 2948–2954. https://doi.org/10.1139/b86-389","Ramirez et al., 1986"
478,"Chapman, A. R. O. (1986). Age versus stage: An analysis of age- and size-specific mortality and reproduction in a population of Laminaria longicruris Pyl. Journal of Experimental Marine Biology and Ecology. https://doi.org/10.1016/0022-0981(86)90113-9","Chapman, 1986"
479,"Goldberg, S. R. (1974). Reproduction in Mountain and Lowland Populations of the Lizard Sceloporus occidentalis. Copeia. https://doi.org/10.2307/1443021","Goldberg, 1974"
480,"Madison, D. M., & Farrand, L. (1998). Habitat Use during Breeding and Emigration in Radio-Implanted Tiger Salamanders, Ambystoma tigrinum. Copeia. https://doi.org/10.2307/1447434","Madison & Farrand, 1998"
481,"Wellington, G. M., & Victor, B. C. (1989). Planktonic larval duration of one hundred species of Pacific and Atlantic damselfishes (Pomacentridae). Marine Biology. https://doi.org/10.1007/BF00541659","Wellington & Victor, 1989"
482,"Peters, A. F., & Müller, D. G. (1985). On the sexual reproduction of Dictyosiphon foeniculaceus (Phaeophyceae, Dictyosiphonales). Helgoländer Meeresuntersuchungen, 39(4). https://doi.org/10.1007/BF01987412","Peters & Müller, 1985"
483,"Wu, K. K., & Jain, S. K. (1979). Population regulation in Bromus rubens and B. mollis: Life cycle components and competition. Oecologia, 337–357. https://doi.org/10.1007/BF00345444","Wu & Jain, 1979"
484,"Jacobus, J., & Webb, P. W. (2005). Using Fish Distributions and Behavior in Patchy Habitats to Evaluate Potential Effects of Fragmentation on Small Marsh Fishes: A Case Study. Journal of Great Lakes Research. https://doi.org/10.1016/S0380-1330(05)70299-9","Jacobus & Webb, 2005"
485,"Chen, Y.-H., Tu, M.-C., & Huang, S.-P. (2013). Synergistic Limits to the Altitudinal Distribution of a High-Altitude Lizard, Takydromus hsuehshanensis. Zoological Science, 30(1), 15–20. https://doi.org/10.2108/zsj.30.15","Chen et al., 2013"
486,"Stewart, D. B., Carmichael, T. J., Sawatzky, C. D., Mochnacz, N. J., & Reist, J. D. (2007). Fish life history and habitat use in the Northwest Territories: brook stickleback (Culaea inconstans). In Canadian Manuscript Report of Fisheries and Aquatic Sciences.","Stewart et al., 2007"
487,"Spence, J. R. (1990). Seed rain in grassland, herbfield, snowbank, and fellfield in the alpine zone, Craigieburn Range, South Island, New Zealand. New Zealand Journal of Botany, 28(4), 439–450. https://doi.org/10.1080/0028825X.1990.10412327","Spence, 1990"
488,"Markham, J. L., Johnson, D. L., & Petering, R. W. (1991). White Crappie Summer Movements and Habitat Use in Delaware Reservoir, Ohio. North American Journal of Fisheries Management, 11, 504–512. https://doi.org/10.1577/1548-8675(1991)011<0504:wcsmah>2.3.co;2","Markham et al., 1991"
489,"Oyadomari, J. K., & Auer, N. A. (2008). Transport and growth of larval cisco (Coregonus artedi) in the Keweenaw Current region of Lake Superior. Canadian Journal of Fisheries and Aquatic Sciences, 65(7), 1447–1458. https://doi.org/10.1139/F08-068","Oyadomari & Auer, 2008"
490,"Pratt, J. D., Keefover-Ring, K., Liu, L. Y., & Mooney, K. A. (2014). Genetically based latitudinal variation in Artemisia californica secondary chemistry. Oikos, 953–963. https://doi.org/10.1111/oik.01156","Pratt et al., 2014"
491,"Lue, K.-Y., & Liou, S.-H. (2010). Exploration of the differences of the body size and growth between hot springs and streams breeding populations of Buergeria japonica in Taiwan [National Taiwan University]. http://rportal.lib.ntnu.edu.tw:80/handle/20.500.12235/104156","Lue & Liou, 2010"
492,"Iturra-Cid, M., Ortiz, J. C., & Ibargüengoytía, N. R. (2010). Age, Size, and Growth of the Chilean Frog Pleurodema thaul (Anura: Leiuperidae): Latitudinal and Altitudinal Effects. Copeia, 2010(4), 609–617. https://doi.org/10.1643/cg-09-193","Iturra-Cid et al., 2010"
493,"Sgrò, C. M., & Partridge, L. (2000). Evolutionary Responses of the Life History of Wild‐Caught Drosophila melanogaster to Two Standard Methods of Laboratory Culture. The American Naturalist, 156(4), 341–353. https://doi.org/10.1086/303394","Sgrò & Partridge, 2000"
494,"Baerwald, M., Bien, V., Feyrer, F., & May, B. (2007). Genetic analysis reveals two distinct Sacramento splittail (Pogonichthys macrolepidotus) populations. Conservation Genetics, 8, 159–167. https://doi.org/10.1007/s10592-006-9157-2","Baerwald et al., 2007"
495,"Michel, C., Hicks, B. J., Stölting, K. N., Clarke, A. C., Stevens, M. I., Tana, R., Meyer, A., & Van Den Heuvel, M. R. (2008). Distinct migratory and non-migratory ecotypes of an endemic New Zealand eleotrid (Gobiomorphus cotidianus) - Implications for incipient speciation in island freshwater fish species. BMC Evolutionary Biology, 8, 1–14. https://doi.org/10.1186/1471-2148-8-49","Michel et al., 2008"
496,"Ng, C. L., Able, K. W., & Grothues, T. M. (2007). Habitat Use, Site Fidelity, and Movement of Adult Striped Bass in a Southern New Jersey Estuary Based on Mobile Acoustic Telemetry. Transactions of the American Fisheries Society, 136(5), 1344–1355. https://doi.org/10.1577/t06-250.1","Ng et al., 2007"
497,"Wilce, R. T., & Davis, A. N. (1984). Development of Dumontia contortia (Dumontiaceae, Cryptonemiales) compared with that of other higher red algae. Journal of Phycology, 20(3), 336–351. https://doi.org/10.1111/j.0022-3646.1984.00336.x","Wilce & Davis, 1984"
498,"Simonsen, V., & Strand, J. (2010). Genetic variation of Zoarces viviparus: Six populations revisited after about 35 years. Hereditas, 147, 250–255. https://doi.org/10.1111/j.1601-5223.2010.02183.x","Simonsen & Strand, 2010"
499,"Sommer, T., Mejia, F., Nobriga, M., Feyrer, F., & Grimaldo, L. (2011). The Spawning Migration of Delta Smelt in the Upper San Francisco Estuary. San Francisco Estuary and Watershed Science, 9(2). https://doi.org/10.15447/sfews.2014v9iss2art2","Sommer et al., 2011"
500,"Moyle, P., Baxter, R., Sommer, T., Foin, T., & Matern, S. (2004). Biology and Population Dynamics of Sacramento Splittail (Pogonichthys macrolepidotus) in the San Francisco Estuary: A Review. San Francisco Estuary and Watershed Science, 2(2). https://doi.org/10.15447/sfews.2004v2iss2art3","Moyle et al., 2004"
501,"Alloway, T. M., Stuart, R., Thomas, C., Buschinger, A., & Talbot, M. (1982). Polygyny and Polydomy in Three North American Species of the Ant Genus Leptothorax Mayr (Hymenoptera: Formicidae). Psyche (New York), 89. https://doi.org/10.1155/1982/64124","Alloway et al., 1982"
502,"Soucy, S., & Travis, J. (2003). Multiple paternity and population genetic structure in natural populations of the poeciliid fish, Heterandria formosa. Journal of Evolutionary Biology, 16(6), 1328–1336. https://doi.org/10.1046/j.1420-9101.2003.00608.x","Soucy & Travis, 2003"
503,"Hicks, K. A., & Servos, M. R. (2017). Site fidelity and movement of a small-bodied fish species, the rainbow darter (Etheostoma caeruleum): Implications for environmental effects assessment. River Research and Applications, 33, 1016–1025. https://doi.org/10.1002/rra.3161","Hicks & Servos, 2017"
504,"Cole, B. J., Haight, K., & Wiernasz, D. C. (2001). Distribution of Myrmecocystus mexicanus (Hymenoptera: Formicidae): Association with Pogonomyrmex occidentalis (Hymenoptera: Formicidae). October, 94(1), 59–63. https://doi.org/10.1603/0013-8746(2001)094[0059:dommhf]2.0.co;2","Cole et al., 2001"
505,"Morin, R., Dodson, J. J., & Power, G. (1981). The migrations of anadromous cisco (Coregonus artedii) and lake whitefish (C. clupeaformis) in estuaries of eastern James Bay. Canadian Journal of Zoology, 59(8), 1600–1607. https://doi.org/10.1139/z81-219","Morin et al., 1981"
506,"Lee, A. K., & Mercer, E. H. (1967). Cocoon surrounding desert-dwelling frogs. Science, 157(3784), 87–88. https://doi.org/10.1126/science.157.3784.87","Lee & Mercer, 1967"
507,"Bernatchez, L., Dempson, J. B., & Martin, S. (1998). Microsatellite gene diversity analysis in anadromous arctic char, Salvelinus alpinus, from Labrador, Canada. Canadian Journal of Fisheries and Aquatic Sciences, 55(5), 1264–1272. https://doi.org/10.1139/f97-325","Bernatchez et al., 1998"
508,"Barthalmus, G. T., & Bellis, E. D. (1972). Home Range, Homing and the Homing Mechanism of the Salamander, Desmognathus fuscus. Copeia, 1972(4), 632–642. https://doi.org/10.2307/1442722","Barthalmus & Bellis, 1972"
509,"Haramura, T. (2011). Use of Oviposition Sites by a Rhacophorid Frog Inhabiting a Coastal Area in Japan. Journal of Herpetology, 45(4), 432–437. https://doi.org/10.1670/10-252.1","Haramura, 2011"
510,"Ward, A. J. W., James, R., Wilson, A. D. M., & Webster, M. M. (2013). Site fidelity and localised homing behaviour in three-spined sticklebacks (Gasterosteus aculeatus). Behaviour, 150(14), 1689–1708. https://doi.org/10.1163/1568539X-00003115","Ward et al., 2013"
511,"Akbaripasand, A., Nichol, E. C., Lokman, P. M., & Closs, G. P. (2011). Microhabitat use of a native New Zealand galaxiid fish, Galaxias fasciatus. New Zealand Journal of Marine and Freshwater Research, 45(1), 135–144. https://doi.org/10.1080/00288330.2010.544044","Akbaripasand et al., 2011"
512,"Matschiner, M., Hanel, R., & Salzburger, W. (2009). Gene flow by larval dispersal in the Antarctic notothenioid fish Gobionotothen gibberifrons. Molecular Ecology, 18(12), 2574–2587. https://doi.org/10.1111/j.1365-294X.2009.04220.x","Matschiner et al., 2009"
513,"Jug-Dujaković, J., & Glamuzina, B. (1988). Preliminary studies of reproduction and early life history of Diplodus vulgaris (E. Geoffroy Saint-Hilaire 1817) in captivity. Aquaculture, 69(3–4), 367–377. https://doi.org/10.1016/0044-8486(88)90343-2","Jug-Dujaković & Glamuzina, 1988"
514,"Wind, E., & Dupuis, L. A. (2002). Committee on the Status of Endangered Wildlife in Canada: Status report on the western toad (Bufo boreas) in Canada: Vol. Committee.","Wind & Dupuis, 2002"
515,"Zouhar, K. (2003). Bromus tectorum. In Fire Effects Information System, [Online]. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station, Fire Sciences Laboratory. www.fs.fed.us /database/feis/plants/graminoid/brotec/all.html","Zouhar, 2003"
516,"Tsetse fly. (n.d.). In Wikipedia. Retrieved December 18, 2019, from https://en.wikipedia.org/w/index.php?title=Tsetse_fly&oldid=931330181","“Tsetse fly,” n.d."
517,"Myrmecocystus mexicanus. (n.d.). In Wikipedia. Retrieved December 10, 2019, from https://en.wikipedia.org/w/index.php?title=Myrmecocystus_mexicanus&oldid=930167223","“Myrmecocystus mexicanus,” n.d."
518,"Myrmecocystus depilis. (n.d.). In AntWiki. Retrieved December 2, 2018, from https://www.antwiki.org/wiki/index.php?title=Myrmecocystus_depilis&oldid=502603","“Myrmecocystus depilis,” n.d."
519,"Myrmecocystus. (n.d.). In AntWiki. Retrieved December 4, 2019, from https://www.antwiki.org/wiki/index.php?title=Myrmecocystus&oldid=522120","“Myrmecocystus,” n.d."
520,"Myrmecocystus species groups. (n.d.). In AntWiki. Retrieved December 4, 2013, from https://www.antwiki.org/wiki/index.php?title=Myrmecocystus_species_groups&oldid=241802","“Myrmecocystus species group,” n.d."
521,"Bluegill. (n.d.). In Wikipedia. Retrieved December 28, 2019, from https://en.wikipedia.org/w/index.php?title=Bluegill&oldid=932854002","""Bluegill,"" n.d."
522,"Cutthroat trout. (n.d.). In Wikipedia. Retrieved November 30, 2019, from https://en.wikipedia.org/w/index.php?title=Cutthroat_trout&oldid=928567065","""Cutthroat trout,"" n.d."
523,"Short-footed frog. (n.d.). In Wikipedia. Retrieved November 5, 2019, from https://en.wikipedia.org/w/index.php?title=Short-footed_frog&oldid=924633871","""Short-footed frog,"" n.d."
524,"Green and golden bell frog. (n.d.). In Wikipedia. Retrieved December 25, 2019, from https://en.wikipedia.org/w/index.php?title=Green_and_golden_bell_frog&oldid=932418231","""Green and golden bell frog,"" n.d."
525,"Eastern dwarf tree frog. (n.d.). In Wikipedia. Retrieved December 21, 2019, from https://en.wikipedia.org/w/index.php?title=Eastern_dwarf_tree_frog&oldid=931887125","""Eastern dwarf tree frog,"" n.d."
526,"Roth’s tree frog. (n.d.). In Wikipedia. Retrieved December 22, 2019, from https://en.wikipedia.org/w/index.php?title=Roth%27s_tree_frog&oldid=931983060","""Roth's tree frog,"" n.d."
527,"Pixie Hawkfish (Cirrhitichthys oxycephalus). (n.d.). In The Aquarium Wiki. Retrieved December 13, 2019, from http://www.theaquariumwiki.com/w/index.php?title=Cirrhitichthys_oxycephalus&oldid=85242","""Pixie Hawkfish (Cirrhitichthys oxycephalus),"" n.d."
528,"Shortfin Molly (Poecilia mexicana). (n.d.). In The Aquarium Wiki. Retrieved December 13, 2017, from http://www.theaquariumwiki.com/w/index.php?title=Poecilia_mexicana&oldid=85659","""Shortfin Molly (Poecilia mexicana),"" n.d."
529,"Atriplex hymenelytra. (n.d.-b). In Wikipedia. Retrieved November 2, 2018, from https://en.wikipedia.org/w/index.php?title=Atriplex_hymenelytra&oldid=866929166","""Atriplex hymenelytra,"" n.d.-b"
530,"Desmarestia viridis. (n.d.). In Wikipedia. Retrieved July 13, 2019, from https://en.wikipedia.org/w/index.php?title=Desmarestia_viridis&oldid=906126076","""Desmarestia viridis,"" n.d."
531,"Sergeant Major (Abudefduf saxatilis). (n.d.). In The Aquarium Wiki. Retrieved December 13, 2017, from http://theaquariumwiki.com/w/index.php?title=Abudefduf_saxatilis&oldid=84598","""Sergeant Major (Abudefduf saxatilis),"" n.d."
532,"Green Scat (Scatophagus argus). (n.d.). In The Aquarium Wiki. Retrieved December 13, 2019, from http://theaquariumwiki.com/w/index.php?title=Scatophagus_argus&oldid=84406","""Green Scat (Scatophagus argus),"" n.d."
533,"Targetfish (Terapon jarbua). (n.d.). In The Aquarium Wiki. Retrieved December 13, 2017, from http://theaquariumwiki.com/w/index.php?title=Terapon_jarbua&oldid=84731","""Targetfish (Terapon jarbua),"" n.d."
534,"Bullseye Puffer (Sphoeroides annulatus). (n.d.). In The Aquarium Wiki. Retrieved December 13, 2017, from http://theaquariumwiki.com/w/index.php?title=Sphoeroides_annulatus&oldid=85619","""Bullseye Puffer (Sphoeroides annulatus),"" n.d."
535,"Eriogonum fasciculatum. (n.d.). In Wikipedia. Retrieved December 1, 2019, from https://en.wikipedia.org/w/index.php?title=Eriogonum_fasciculatum&oldid=928770270","""Eriogonum fasciculatum,"" n.d."
536,"Gomon, M. F., & Bray, D. J. (2018). Anguilla australis. In Fishes of Australia. http://136.154.202.208/home/species/1423","Gomon & Bray, 2018"
537,"Eakins, R. J. (2020a). Brook Stickleback. In Ontario Freshwater Fishes Life History Database. http://www.ontariofishes.ca","Eakins, 2020a"
538,"Reed, W. R. (1993). Atriplex gardneri. In Fire Effects Information System, [Online]. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station, Fire Sciences Laboratory. www.fs.fed.us/database/feis/plants/shrub/atrgar/all.html","Reed, 1993"
539,"Eakins, R. J. (2020c). Striped Shiner. In Ontario Freshwater Fishes Life History Database. http://www.ontariofishes.ca","Eakins, 2020c"
540,"Eakins, R. J. (2020b). Smallmouth Bass. In Ontario Freshwater Fishes Life History Database. http://www.ontariofishes.ca","Eakins, 2020b"
541,"McDowall, R. M., & A. H. Whitaker. (1975). The freshwater fishes. In G. Kuschel (Ed.), Biogeography and Ecology in New Zealand (Vol. 27, pp. 277–300). Springer Netherlands. https://doi.org/10.1007/978-94-010-1941-5","McDowall & Whitaker, 1975"
542,"Zacharias, E. H. (2013). Atriplex leucophylla. In Jepson Flora Project (eds.) Jepson eFlora (Revision 1). https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=15230","Zacharias, 2013"
543,"Averett, D. E. (2012a). Salvia leucophylla. In Jepson Flora Project (eds.) Jepson eFlora (Revision 1). https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=43066","Averett, 2012a"
544,"Reveal, J. L., & Rosatti, T. J. (2012). Eriogonum latifolium. In Jepson Flora Project (eds.) Jepson eFlora (Revision 1). https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=24832","Reveal & Rosatti, 2012"
545,"CABI. (2020b). Bromus rubens (red brome). In Invasive Species Comendium. Wallingford, UK: CAB International. www.cabi.org/isc.","CABI, 2020b"
546,"CABI. (2020a). Alosa pseudoharengus (alewife). In Invasive Species Comendium. Wallingford, UK: CAB International. www.cabi.org/isc","CABI, 2020a"
547,"Chown, S. L., & Klok, C. J. (2001a). First record of Palirhoeus eatoni (Coleoptera: Curculionidae) from sub-Antarctic Heard Island. African Entomology, 9(2), 193–194.","Chown & Klok, 2001a"
548,"Watson, L., & Dallwitz, M. J. (2019). Insects of Britain and Ireland: dragonflies and damselflies (Odonata). In DEscription Language for TAxonomy. delta-intkey.com","Watson & Dallwitz, 2019"
549,"Department of the Environment. (2020). Litoria olongburensis. In Species Profile and Threats Database. Department of the Environment, Canberra. http://www.environment.gov.au/sprat","Department of the Environment, 2020"
550,"Driessen, G., Ellers, J., & Van Straalen, N. M. (2007). Variation, selection and heritability of thermal reaction norms for juvenile growth in Orchesella cincta (Collembola: Entomobryidae). European Journal of Entomology, 104(1), 39–46. https://doi.org/10.14411/eje.2007.006","Driessen, 2007"
551,"Blomquist, S. M., & Hunter, M. L. (2009). A multi-scale assessment of habitat selection and movement patterns by northern leopard frogs (Lithobates [Rana] pipiens) in a managed forest. Herpetological Conservation and Biology, 4(2), 142–160.","Blomquist & Hunter, 2009"
552,"Herbert, P. D. N. (2002). Leopard frog, Rana pipiens. In Canada’s Aquatic Environments [Internet]. http://",Herbert 2002
553,"Flavelle, L. S., Ridgway, M., Middel, T., & McKinley, R. S. (2001). Home Range and Habitat Preferences of Adult Lake Trout (Salvelinus namaycush) in Lake Opeongo, Algonquin Park, Ontario. Workshop On Fisheries Research In Algonquin Park, 17.","Flavelle et al., 2001"
554,"Altman, P. L., & Dittmer, D. S. (Eds.). (1962). Sex ratios and life spans. In Growth including reproduction and morphological development (pp. 433–476). Federation of American Societies for Experimental Biology, Author.","Altman & Dittmer, 1962"
555,"Reebs, S., Leblanc, S., Fraser, A., Hardie, P., & Cunjak, R. A. (2008). Upstream and downstream movements of lake chub, Couesius plumbeus, and white sucker, Catostomus commersoni, at Catamaran Brook, 1990-2004. Canadian Technical Report of Fisheries and Aquatic Sciences, 2791, iv–19.","Reebs et al., 2008"
556,"Yeabsley, J. (2012). Correlation of Environmental Temperature and Ice Content During Freezing in Pseudacris regilla. Symposium of University Research and Creative Expression, 193.","Yeabsley, 2012"
557,"Pacific Treefrog: Pseudacris regilla. (n.d.). Canadian Herpetological Society. Retrieved June 23, 2020, from http://canadianherpetology.ca/species/species_page.html?cname=Pacific Treefrog","Pacific Treefrog: Pseudacris regilla, n.d."
558,"Schell, C. B. (2002). Ecology and life-history variation within a population of the frog Limnodynastes Tasmaniensis (Anura: Myobatrachidae) from a remnant woodland of the Cumberland plain in north-western Sydney [University of Western Sydney]. http://handle.uws.edu.au:8081/1959.7/692","Schell, 2002"
559,"Bazin, Y., Wharton, D. A., & Bishop, P. J. (2007). Cold tolerance and overwintering of an introduced New Zealand frog, the brown tree frog (Litoria ewingii). Cryo-Letters, 28(5), 347–358.","Bazin et al., 2007"
560,"Simpkins, C. A., Meyer, E., & Hero, J. M. (2011). Long-range movement in the rare Cooloola sedgefrog Litoria cooloolensis. Australian Zoologist, 35(4), 977–978. https://doi.org/10.7882/AZ.2011.050","Simkins et al., 2011"
561,"Dunlap, J. B., Jameson, M. L., Engasser, E. L., Skelley, P. E., & Redford, A. J. (2015). Canthon humectus. In Scarab and Stag Beetles of Hawaii and the Pacific. USDA APHIS Identification Technology Program (ITP). http://idtools.org/id/beetles/scarab/","Dunlap et al., 2015"
562,"McEwan, A., & Joy, M. (2016). Freshwater eels in New Zealand. Department of Conservation, New Zealand Government. https://www.doc.govt.nz/nature/native-animals/freshwater-fish/eels/freshwater-eels-in-new-zealand/","McEwan & Joy, 2016"
563,"Snow, J. (n.d.). The Wrasse Family – Labridae. Mexico – Fish, Birds, Crabs, Marine Life, Shells and Terrestrial Life. Retrieved June 23, 2020, from https://mexican-fish.com/","Snow, n.d."
564,"Mowbray, A. (n.d.-b). Upland Grass Anole. El Yunque National Forest, United States Department of Agriculture. Retrieved June 23, 2020, from https://www.fs.usda.gov/detail/elyunque/learning/nature-science/?cid=fsbdev3_042903","Mowbray, n.d.-b"
565,"Franco, G. (2015). Ecological Features of the Greater Earless Lizard, Cophosaurus texanus, (Squamata: Phrynosomatidae) on Indio Mountains Research Station, Hudspeth County, Texas. University of Texas at El Paso.","Franco, 2015"
566,"Xiang, J., & Peichao, M. W. W. (1989). Study on the home range of the lizard Takydromus septentrionalis during reproductive period. Journal of Hangzhou Teachers College. http://en.cnki.com.cn/Article_en/CJFDTotal-HSXX198906010.htm","Xiang & Peichao, 1989"
567,"Johannesson, B., Larsvik, M., Loo, L.-O., & Samuelsson, H. (2000). Brown algae - Desmarestia aculeata. Aquascope. https://www.vattenkikaren.gu.se/fakta/arter/algae/phaeophy/desmacul/desmace.html","Johannesson et al., 2000"
